feature,pct_in_top5,mean_signed_weight
cap-color_e,72.5,0.00010242122836989698
cap-color_g,72.5,0.00010079228599053677
bruises_f,67.5,0.0
bruises_t,67.5,0.0
cap-color_b,67.5,0.0
cap-color_c,67.5,0.0
ring-type_l,15.0,0.001905967485354047
gill-color_b,15.0,0.0014198685304118825
spore-print-color_h,14.166666666666666,0.0016811110824060064
stalk-color-below-ring_p,11.666666666666666,0.0015150140284992224
stalk-color-above-ring_p,10.833333333333334,0.0014599707760729282
cap-color_n,10.0,0.0013064761807716314
spore-print-color_w,8.333333333333334,0.0011542547032264584
odor_s,7.5,0.0028506535224687994
habitat_p,7.5,0.0019755443074984803
gill-color_p,7.5,0.00170087006142538
population_y,7.5,0.0016729088880480991
stalk-root_?,6.666666666666667,0.0011310787988195845
odor_f,5.833333333333333,0.0012295470131224089
stalk-color-below-ring_n,5.0,0.0031661873139338637
gill-color_g,5.0,0.002567926459574817
cap-color_y,5.0,0.002149112060377429
gill-size_n,5.0,0.001167805343298481
gill-size_b,5.0,-0.0011349111095540867
odor_p,2.5,0.005280244474044577
gill-color_k,2.5,0.004133409166402115
stalk-color-below-ring_b,2.5,0.003757994045950147
stalk-color-above-ring_n,2.5,0.0036059397072119846
stalk-color-above-ring_b,2.5,0.00335561058289471
gill-color_h,2.5,0.0027561312667171802
odor_y,2.5,0.0026171231551155773
stalk-root_e,2.5,0.00239211343966628
habitat_l,2.5,0.002252366538230562
spore-print-color_k,2.5,0.001787213751538441
habitat_g,2.5,0.0016740289838335233
stalk-surface-below-ring_k,2.5,0.0011720540822655109
stalk-surface-above-ring_k,0.8333333333333334,0.0011473121113778643
ring-type_e,0.8333333333333334,0.001061001290562676
cap-surface_s,0.8333333333333334,0.0010351316012878135
