feature,pct_in_top5,mean_signed_weight
stalk-surface-above-ring_s,70.0,0.011635743743592126
odor_n,62.5,0.03832892209933725
stalk-color-below-ring_w,46.666666666666664,0.011111319373823184
spore-print-color_k,37.5,0.022033829009933264
population_v,33.333333333333336,-0.010626135878764167
spore-print-color_n,30.0,0.02790019730812244
gill-color_n,25.0,0.029301746063994955
stalk-color-above-ring_p,20.0,-0.01337119623347995
odor_f,20.0,-0.06481533856634991
gill-color_w,17.5,0.015621191109186857
ring-number_o,17.5,-0.010365264666885978
stalk-surface-below-ring_k,17.5,-0.01653745368816409
spore-print-color_w,17.5,-0.01765831302470791
stalk-surface-above-ring_k,17.5,-0.04057920396768128
veil-color_w,16.666666666666668,0.011430955506384812
stalk-color-below-ring_p,15.0,-0.010737026284955037
gill-color_b,15.0,-0.017516151040778867
spore-print-color_h,15.0,-0.021388325036701638
stalk-color-above-ring_n,2.5,-0.01953680640504606
odor_l,2.5,-0.02076992281013498
gill-color_u,0.8333333333333334,0.010352085282435032
