feature,pct_in_top5,mean_signed_weight
odor_c=0,100.0,-0.6250726484442605
odor_a=0,97.5,0.349411612397994
odor_y=0,97.5,-0.32630281320842097
odor_s=0,92.5,-0.32445283972470257
odor_p=0,85.0,-0.32316520409620114
odor_f=0,80.0,-0.8432803199568193
odor_f=1,20.0,0.8430441338577072
odor_n=0,9.166666666666666,0.09626881675359779
odor_s=1,7.5,0.32684053295901133
odor_y=1,2.5,0.3258314664756508
odor_n=1,2.5,-0.09354584629080043
odor_a=1,2.5,-0.3493076729095545
odor_p=1,1.6666666666666667,0.3242948207495775
odor_m=0,1.6666666666666667,-0.7174926807861357
