,class,cap-shapenum,cap-surfacenum,cap-colornum,bruisesnum,odornum,gill-attachmentnum,gill-spacingnum,gill-sizenum,gill-colornum,stalk-shapenum,stalk-rootnum,stalk-surface-above-ringnum,stalk-surface-below-ringnum,stalk-color-above-ringnum,stalk-color-below-ringnum,veil-typenum,veil-colornum,ring-numbernum,ring-typenum,spore-print-colornum,populationnum,habitatnum,poison,edible
0,p,5,2,4,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,2,3,5,1,0
1,e,5,2,9,1,0,1,0,0,4,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
2,e,0,2,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,2,3,0,1
3,p,5,3,8,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,5,1,0
4,e,5,2,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
5,e,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
6,e,0,2,8,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,2,3,0,1
7,e,0,3,8,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,3,3,3,0,1
8,p,5,3,8,1,6,1,0,1,7,0,3,2,2,7,7,0,2,1,4,2,4,1,1,0
9,e,0,2,9,1,0,1,0,0,2,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
10,e,5,3,9,1,3,1,0,0,2,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
11,e,5,3,9,1,0,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,3,3,0,1
12,e,0,2,9,1,0,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,3,1,0,1
13,p,5,3,8,1,6,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,4,5,1,0
14,e,5,0,4,0,5,1,1,0,5,1,3,2,0,7,7,0,2,1,0,2,0,1,0,1
15,e,4,0,3,0,5,1,0,1,4,0,3,2,2,7,7,0,2,1,4,3,5,5,0,1
16,e,2,0,8,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,3,0,1,0,1
17,p,5,2,4,1,6,1,0,1,5,0,3,2,2,7,7,0,2,1,4,2,3,1,1,0
