,Unnamed: 0,class,cap-shapenum,cap-surfacenum,cap-colornum,bruisesnum,odornum,gill-attachmentnum,gill-spacingnum,gill-sizenum,gill-colornum,stalk-shapenum,stalk-rootnum,stalk-surface-above-ringnum,stalk-surface-below-ringnum,stalk-color-above-ringnum,stalk-color-below-ringnum,veil-typenum,veil-colornum,ring-numbernum,ring-typenum,spore-print-colornum,populationnum,habitatnum,poison,edible
5672,5672,p,2,3,9,0,2,1,0,0,7,0,1,1,1,6,0,0,2,1,2,1,5,1,1,0
8103,8103,e,3,2,4,0,5,0,0,0,11,0,0,2,2,5,5,0,0,1,4,4,1,2,0,1
3540,3540,e,5,3,4,1,5,1,0,0,10,1,1,2,2,3,6,0,2,1,4,3,5,0,0,1
5219,5219,e,3,3,4,1,5,1,0,0,10,0,0,2,2,2,7,0,2,2,0,7,1,6,0,1
2254,2254,e,5,3,4,1,5,1,0,0,10,1,1,2,2,7,7,0,2,1,4,2,4,0,0,1
7581,7581,e,3,0,8,0,5,1,1,0,2,0,0,2,1,7,7,0,2,2,4,7,2,1,0,1
4880,4880,p,2,3,9,0,2,1,0,0,2,0,1,1,1,4,0,0,2,1,2,1,5,0,1,0
1950,1950,e,5,0,3,1,5,1,0,0,10,1,1,2,2,6,6,0,2,1,4,3,4,0,0,1
1291,1291,e,5,0,3,0,5,1,1,0,7,1,3,0,2,7,7,0,2,1,0,3,0,1,0,1
796,796,e,0,3,9,1,3,1,0,0,5,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
7026,7026,e,5,2,4,0,5,0,0,0,5,0,0,2,2,5,5,0,1,1,4,3,1,2,0,1
2561,2561,e,2,0,4,1,5,1,0,0,9,1,1,2,2,7,6,0,2,1,4,2,5,0,0,1
4113,4113,e,2,0,2,1,5,1,0,0,9,1,1,2,2,6,7,0,2,1,4,3,4,0,0,1
1058,1058,e,5,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,2,2,1,0,1
713,713,e,0,3,9,1,3,1,0,0,10,0,2,2,2,7,7,0,2,1,4,3,2,1,0,1
5841,5841,p,5,3,9,0,2,1,0,0,2,0,1,1,1,6,0,0,2,1,2,1,4,0,1,0
1873,1873,e,2,0,3,0,5,1,1,0,4,1,3,2,2,7,7,0,2,1,0,2,0,1,0,1
